time_s,temp_c,setpoint_c,pwm,error_c
1.1233,0.0000,200.00,255,200.0000
1.1262,0.0000,200.00,255,200.0000
1.1292,0.0000,200.00,255,200.0000
1.1329,0.0000,200.00,255,200.0000
1.1367,0.0000,200.00,255,200.0000
1.1397,0.0000,200.00,255,200.0000
1.1439,0.0000,200.00,255,200.0000
1.1468,0.0000,200.00,255,200.0000
1.1495,0.0000,200.00,255,200.0000
1.1523,0.0000,200.00,255,200.0000
1.1553,0.0000,200.00,255,200.0000
1.1583,0.0000,200.00,255,200.0000
1.1612,0.0000,200.00,255,200.0000
1.1644,0.0000,200.00,255,200.0000
1.1675,0.0000,200.00,255,200.0000
1.1704,0.0000,200.00,255,200.0000
1.1751,0.0000,200.00,255,200.0000
1.1782,0.0000,200.00,255,200.0000
1.1809,0.0000,200.00,255,200.0000
1.1838,0.0000,200.00,255,200.0000
1.1870,0.0000,200.00,255,200.0000
1.1898,0.0000,200.00,255,200.0000
1.1929,0.0000,200.00,255,200.0000
1.1957,0.0000,200.00,255,200.0000
1.1989,0.0000,200.00,255,200.0000
1.2021,0.0000,200.00,255,200.0000
1.2049,0.0000,200.00,255,200.0000
1.2077,0.0000,200.00,255,200.0000
1.2109,0.0000,200.00,255,200.0000
1.2153,0.0000,200.00,255,200.0000
1.2181,0.0000,200.00,255,200.0000
1.2208,0.0000,200.00,255,200.0000
1.2235,0.0000,200.00,255,200.0000
1.2263,0.0000,200.00,255,200.0000
1.2292,0.0000,200.00,255,200.0000
1.2324,0.0000,200.00,255,200.0000
1.2352,0.0000,200.00,255,200.0000
1.2379,0.0000,200.00,255,200.0000
1.2411,0.0000,200.00,255,200.0000
1.2455,0.0000,200.00,255,200.0000
1.2486,0.0000,200.00,255,200.0000
1.2513,0.0000,200.00,255,200.0000
1.2540,0.0000,200.00,255,200.0000
1.2571,0.0000,200.00,255,200.0000
1.2605,0.0000,200.00,255,200.0000
1.2634,0.0000,200.00,255,200.0000
1.2667,0.0000,200.00,255,200.0000
1.2699,0.0000,200.00,255,200.0000
1.2726,0.0000,200.00,255,200.0000
1.2756,0.0000,200.00,255,200.0000
1.2789,0.0000,200.00,255,200.0000
1.2829,0.0000,200.00,255,200.0000
1.2857,0.0000,200.00,255,200.0000
