time_s,temp_c,setpoint_c,pwm,error_c
1.2355,146.5000,200.00,255,53.5000
1.3545,146.5000,200.00,255,53.5000
1.4446,146.5000,200.00,255,53.5000
1.5408,146.5000,200.00,255,53.5000
1.6235,146.5000,200.00,255,53.5000
1.7635,146.5000,200.00,255,53.5000
1.8611,146.5000,200.00,255,53.5000
1.9571,146.5000,200.00,255,53.5000
2.0483,149.9000,200.00,255,50.1000
2.1444,17.9000,200.00,255,182.1000
2.2465,191.4000,200.00,255,8.6000
2.5009,241.3000,200.00,0,-41.3000
2.5972,255.8000,200.00,0,-55.8000
2.9639,187.3000,200.00,8,12.7000
3.1461,162.3000,200.00,33,37.7000
3.3112,146.5000,200.00,51,53.5000
3.4939,146.5000,200.00,59,53.5000
3.6601,146.5000,200.00,66,53.5000
3.8258,162.6000,200.00,59,37.4000
3.9903,186.2000,200.00,43,13.8000
4.1647,194.3000,200.00,37,5.7000
4.3245,191.0000,200.00,41,9.0000
4.4965,184.0000,200.00,48,16.0000
4.6535,179.4000,200.00,54,20.6000
4.8094,181.4000,200.00,55,18.6000
4.9685,188.2000,200.00,51,11.8000
5.1243,196.3000,200.00,46,3.7000
5.2915,199.6000,200.00,43,0.4000
5.4588,197.3000,200.00,45,2.7000
5.6260,192.7000,200.00,50,7.3000
5.7915,191.8000,200.00,52,8.2000
5.9603,193.4000,200.00,51,6.6000
6.1207,198.2000,200.00,48,1.8000
6.2750,201.3000,200.00,45,-1.3000
6.4416,200.2000,200.00,46,-0.2000
6.5943,198.4000,200.00,48,1.6000
6.7577,196.3000,200.00,50,3.7000
6.9224,196.6000,200.00,50,3.4000
7.0737,198.8000,200.00,49,1.2000
7.2450,200.3000,200.00,47,-0.3000
7.4201,201.8000,200.00,46,-1.8000
7.6046,200.3000,200.00,47,-0.3000
7.7749,197.4000,200.00,50,2.6000
7.9448,197.8000,200.00,50,2.2000
8.1151,199.9000,200.00,48,0.1000
8.2738,200.5000,200.00,48,-0.5000
8.4423,200.9000,200.00,47,-0.9000
8.6057,199.9000,200.00,48,0.1000
8.7732,197.9000,200.00,50,2.1000
8.9239,198.3000,200.00,50,1.7000
9.0903,199.9000,200.00,48,0.1000
9.2578,200.6000,200.00,48,-0.6000
9.4251,200.6000,200.00,48,-0.6000
9.5897,199.8000,200.00,48,0.2000
9.7572,198.8000,200.00,49,1.2000
9.9218,198.2000,200.00,50,1.8000
10.0952,199.0000,200.00,49,1.0000
10.2594,200.6000,200.00,48,-0.6000
10.4278,201.5000,200.00,47,-1.5000
10.5949,200.3000,200.00,48,-0.3000
10.7539,199.2000,200.00,49,0.8000
10.9262,199.0000,200.00,49,1.0000
11.0920,199.5000,200.00,49,0.5000
11.2411,199.8000,200.00,49,0.2000
11.4061,201.1000,200.00,48,-1.1000
11.5539,200.2000,200.00,48,-0.2000
11.7086,200.8000,200.00,48,-0.8000
