time_s,temp_c,setpoint_c,pwm,error_c
1.1079,0.0000,200.00,255,200.0000
1.1112,0.0000,200.00,255,200.0000
1.1143,0.0000,200.00,255,200.0000
1.1172,0.0000,200.00,255,200.0000
1.1207,0.0000,200.00,255,200.0000
1.1236,0.0000,200.00,255,200.0000
1.1267,0.0000,200.00,255,200.0000
1.1315,0.0000,200.00,255,200.0000
1.1345,0.0000,200.00,255,200.0000
1.1374,0.0000,200.00,255,200.0000
1.1407,0.0000,200.00,255,200.0000
1.1442,0.0000,200.00,255,200.0000
1.1472,0.0000,200.00,255,200.0000
1.1501,0.0000,200.00,255,200.0000
1.1528,0.0000,200.00,255,200.0000
1.1557,0.0000,200.00,255,200.0000
1.1593,0.0000,200.00,255,200.0000
1.1641,0.0000,200.00,255,200.0000
1.1675,0.0000,200.00,255,200.0000
1.1704,0.0000,200.00,255,200.0000
1.1731,0.0000,200.00,255,200.0000
1.1763,0.0000,200.00,255,200.0000
1.1796,0.0000,200.00,255,200.0000
1.1825,0.0000,200.00,255,200.0000
1.1856,0.0000,200.00,255,200.0000
1.1883,0.0000,200.00,255,200.0000
1.1914,0.0000,200.00,255,200.0000
1.1945,0.0000,200.00,255,200.0000
1.1991,0.0000,200.00,255,200.0000
1.2024,0.0000,200.00,255,200.0000
1.2053,0.0000,200.00,255,200.0000
1.2081,0.0000,200.00,255,200.0000
1.2108,0.0000,200.00,255,200.0000
1.2137,0.0000,200.00,255,200.0000
1.2165,0.0000,200.00,255,200.0000
1.2193,0.0000,200.00,255,200.0000
1.2220,0.0000,200.00,255,200.0000
1.2247,0.0000,200.00,255,200.0000
1.2276,0.0000,200.00,255,200.0000
1.2303,0.0000,200.00,255,200.0000
1.2341,0.0000,200.00,255,200.0000
1.2373,0.0000,200.00,255,200.0000
1.2401,0.0000,200.00,255,200.0000
1.2430,0.0000,200.00,255,200.0000
1.2463,0.0000,200.00,255,200.0000
1.2490,0.0000,200.00,255,200.0000
1.2519,0.0000,200.00,255,200.0000
1.2547,0.0000,200.00,255,200.0000
1.2576,0.0000,200.00,255,200.0000
1.2605,0.0000,200.00,255,200.0000
1.2632,0.0000,200.00,255,200.0000
1.2666,0.0000,200.00,255,200.0000
1.2715,0.0000,200.00,255,200.0000
1.2745,0.0000,200.00,255,200.0000
1.2774,0.0000,200.00,255,200.0000
1.2803,0.0000,200.00,255,200.0000
1.2831,0.0000,200.00,255,200.0000
1.2858,0.0000,200.00,255,200.0000
1.2886,0.0000,200.00,255,200.0000
1.2913,0.0000,200.00,255,200.0000
1.2943,0.0000,200.00,255,200.0000
1.2971,0.0000,200.00,255,200.0000
1.3019,0.0000,200.00,255,200.0000
1.3048,0.0000,200.00,255,200.0000
1.3078,0.0000,200.00,255,200.0000
1.3106,0.0000,200.00,255,200.0000
1.3139,0.0000,200.00,255,200.0000
1.3170,0.0000,200.00,255,200.0000
1.3201,0.0000,200.00,255,200.0000
1.3231,0.0000,200.00,255,200.0000
1.3259,0.0000,200.00,255,200.0000
1.3291,0.0000,200.00,255,200.0000
1.3323,0.0000,200.00,255,200.0000
1.3363,0.0000,200.00,255,200.0000
1.3399,0.0000,200.00,255,200.0000
1.3426,0.0000,200.00,255,200.0000
1.3458,0.0000,200.00,255,200.0000
1.3487,0.0000,200.00,255,200.0000
1.3514,0.0000,200.00,255,200.0000
1.3543,0.0000,200.00,255,200.0000
1.3570,0.0000,200.00,255,200.0000
1.3599,0.0000,200.00,255,200.0000
1.3627,0.0000,200.00,255,200.0000
1.3658,0.0000,200.00,255,200.0000
1.3686,0.0000,200.00,255,200.0000
1.3713,0.0000,200.00,255,200.0000
1.3740,0.0000,200.00,255,200.0000
1.3766,0.0000,200.00,255,200.0000
1.3799,0.0000,200.00,255,200.0000
1.3831,0.0000,200.00,255,200.0000
1.3859,0.0000,200.00,255,200.0000
1.3898,0.0000,200.00,255,200.0000
1.3934,0.0000,200.00,255,200.0000
1.3968,0.0000,200.00,255,200.0000
1.3998,0.0000,200.00,255,200.0000
1.4025,0.0000,200.00,255,200.0000
1.4055,0.0000,200.00,255,200.0000
1.4083,0.0000,200.00,255,200.0000
1.4112,0.0000,200.00,255,200.0000
1.4143,0.0000,200.00,255,200.0000
1.4179,0.0000,200.00,255,200.0000
1.4215,0.0000,200.00,255,200.0000
1.4246,0.0000,200.00,255,200.0000
1.4274,0.0000,200.00,255,200.0000
1.4304,0.0000,200.00,255,200.0000
1.4331,0.0000,200.00,255,200.0000
1.4360,0.0000,200.00,255,200.0000
1.4386,0.0000,200.00,255,200.0000
1.4415,0.0000,200.00,255,200.0000
1.4457,0.0000,200.00,255,200.0000
1.4501,0.0000,200.00,255,200.0000
1.4530,0.0000,200.00,255,200.0000
1.4557,0.0000,200.00,255,200.0000
1.4583,0.0000,200.00,255,200.0000
1.4612,0.0000,200.00,255,200.0000
1.4646,0.0000,200.00,255,200.0000
1.4673,0.0000,200.00,255,200.0000
1.4699,0.0000,200.00,255,200.0000
1.4735,0.0000,200.00,255,200.0000
1.4775,0.0000,200.00,255,200.0000
1.4802,0.0000,200.00,255,200.0000
1.4834,0.0000,200.00,255,200.0000
1.4864,0.0000,200.00,255,200.0000
1.4895,0.0000,200.00,255,200.0000
1.4927,0.0000,200.00,255,200.0000
1.4955,0.0000,200.00,255,200.0000
