time_s,temp_c,setpoint_c,pwm,error_c
1.8561,0.0000,275.00,255,275.0000
2.1413,0.0000,275.00,255,275.0000
2.4443,0.0000,275.00,255,275.0000
2.7091,207.2549,275.00,255,67.7451
3.0773,296.4706,275.00,255,-21.4706
3.3948,350.0000,275.00,0,-75.0000
3.7154,350.0000,275.00,0,-75.0000
4.0161,348.6275,275.00,0,-73.6275
4.3473,264.9020,275.00,0,10.0980
4.6756,192.1569,275.00,66,82.8431
5.0754,171.5686,275.00,117,103.4314
5.3530,216.8627,275.00,92,58.1373
5.7007,274.5098,275.00,35,0.4902
6.0690,297.8431,275.00,5,-22.8431
6.3528,233.3333,275.00,85,41.6667
6.6907,199.0196,275.00,139,75.9804
6.9795,248.4314,275.00,98,26.5686
7.2760,329.4118,275.00,4,-54.4118
7.5445,345.8824,275.00,0,-70.8824
7.8101,293.7255,275.00,16,-18.7255
8.0792,219.6078,275.00,104,55.3922
8.4190,201.7647,275.00,139,73.2353
8.7260,269.0196,275.00,73,5.9804
9.0215,334.9020,275.00,0,-59.9020
9.4231,318.4314,275.00,0,-43.4314
