time_s,temp_c,setpoint_c,pwm,error_c,phase
0.1651,58.8235,200.00,255,141.1765,preheat
0.1820,58.8235,200.00,255,141.1765,preheat
0.2051,58.8235,200.00,255,141.1765,preheat
0.2160,58.8235,200.00,255,141.1765,preheat
0.2321,58.8235,200.00,255,141.1765,preheat
0.2483,58.8235,200.00,255,141.1765,preheat
0.2653,58.8235,200.00,255,141.1765,preheat
0.2961,58.8235,200.00,255,141.1765,preheat
0.3174,58.8235,200.00,255,141.1765,preheat
0.3325,58.8235,200.00,255,141.1765,preheat
0.3518,58.8235,200.00,255,141.1765,preheat
0.3739,58.8235,200.00,255,141.1765,preheat
0.4013,58.8235,200.00,255,141.1765,preheat
0.4162,58.8235,200.00,255,141.1765,preheat
0.4336,58.8235,200.00,255,141.1765,preheat
0.4508,58.8235,200.00,255,141.1765,preheat
0.4686,58.8235,200.00,255,141.1765,preheat
0.4893,58.8235,200.00,255,141.1765,preheat
0.5012,58.8235,200.00,255,141.1765,preheat
0.5163,58.8235,200.00,255,141.1765,preheat
0.5335,58.8235,200.00,255,141.1765,preheat
0.5498,58.8235,200.00,255,141.1765,preheat
0.5672,58.8235,200.00,255,141.1765,preheat
0.6005,58.8235,200.00,255,141.1765,preheat
0.6172,58.8235,200.00,255,141.1765,preheat
0.6333,58.8235,200.00,255,141.1765,preheat
0.6502,58.8235,200.00,255,141.1765,preheat
0.6681,58.8235,200.00,255,141.1765,preheat
0.6916,58.8235,200.00,255,141.1765,preheat
0.7184,58.8235,200.00,255,141.1765,preheat
0.7340,58.8235,200.00,255,141.1765,preheat
0.7501,58.8235,200.00,255,141.1765,preheat
0.7666,58.8235,200.00,255,141.1765,preheat
0.7853,58.8235,200.00,255,141.1765,preheat
0.8205,58.8235,200.00,255,141.1765,preheat
0.8324,58.8235,200.00,255,141.1765,preheat
0.8507,58.8235,200.00,255,141.1765,preheat
0.8668,58.8235,200.00,255,141.1765,preheat
0.8843,58.8235,200.00,255,141.1765,preheat
0.9061,58.8235,200.00,255,141.1765,preheat
0.9177,58.8235,200.00,255,141.1765,preheat
0.9346,58.8235,200.00,255,141.1765,preheat
0.9493,58.8235,200.00,255,141.1765,preheat
0.9673,58.8235,200.00,255,141.1765,preheat
0.9843,58.8235,200.00,255,141.1765,preheat
