time_s,temp_c,setpoint_c,pwm,error_c
1.1245,0.0000,200.00,255,200.0000
1.1273,0.0000,200.00,255,200.0000
1.1300,0.0000,200.00,255,200.0000
1.1331,0.0000,200.00,255,200.0000
1.1362,0.0000,200.00,255,200.0000
1.1390,0.0000,200.00,255,200.0000
1.1417,0.0000,200.00,255,200.0000
1.1449,0.0000,200.00,255,200.0000
1.1481,0.0000,200.00,255,200.0000
1.1510,0.0000,200.00,255,200.0000
1.1541,0.0000,200.00,255,200.0000
1.1568,0.0000,200.00,255,200.0000
1.1598,0.0000,200.00,255,200.0000
1.1626,0.0000,200.00,255,200.0000
1.1659,0.0000,200.00,255,200.0000
1.1689,0.0000,200.00,255,200.0000
1.1716,0.0000,200.00,255,200.0000
1.1742,0.0000,200.00,255,200.0000
1.1770,0.0000,200.00,255,200.0000
1.1800,0.0000,200.00,255,200.0000
1.1837,0.0000,200.00,255,200.0000
1.1869,0.0000,200.00,255,200.0000
1.1896,0.0000,200.00,255,200.0000
1.1924,0.0000,200.00,255,200.0000
1.1951,0.0000,200.00,255,200.0000
1.1980,0.0000,200.00,255,200.0000
1.2007,0.0000,200.00,255,200.0000
1.2038,0.0000,200.00,255,200.0000
1.2066,0.0000,200.00,255,200.0000
1.2094,0.0000,200.00,255,200.0000
1.2126,0.0000,200.00,255,200.0000
1.2159,0.0000,200.00,255,200.0000
1.2188,0.0000,200.00,255,200.0000
1.2219,0.0000,200.00,255,200.0000
1.2247,0.0000,200.00,255,200.0000
1.2275,0.0000,200.00,255,200.0000
1.2302,0.0000,200.00,255,200.0000
1.2330,0.0000,200.00,255,200.0000
1.2362,0.0000,200.00,255,200.0000
1.2405,0.0000,200.00,255,200.0000
1.2431,0.0000,200.00,255,200.0000
1.2460,0.0000,200.00,255,200.0000
1.2488,0.0000,200.00,255,200.0000
1.2518,0.0000,200.00,255,200.0000
1.2547,0.0000,200.00,255,200.0000
1.2575,0.0000,200.00,255,200.0000
1.2602,0.0000,200.00,255,200.0000
1.2646,0.0000,200.00,255,200.0000
1.2674,0.0000,200.00,255,200.0000
1.2701,0.0000,200.00,255,200.0000
1.2734,0.0000,200.00,255,200.0000
1.2761,0.0000,200.00,255,200.0000
1.2788,0.0000,200.00,255,200.0000
1.2818,0.0000,200.00,255,200.0000
1.2847,0.0000,200.00,255,200.0000
1.2878,0.0000,200.00,255,200.0000
1.2919,0.0000,200.00,255,200.0000
1.2950,0.0000,200.00,255,200.0000
1.2981,0.0000,200.00,255,200.0000
1.3009,0.0000,200.00,255,200.0000
1.3037,0.0000,200.00,255,200.0000
1.3071,0.0000,200.00,255,200.0000
1.3099,0.0000,200.00,255,200.0000
1.3126,0.0000,200.00,255,200.0000
