time_s,temp_c,setpoint_c,pwm,error_c
0.2897,318.4314,,20,
0.3064,318.4314,,20,
0.7087,318.4314,,20,
0.8086,318.4314,,20,
0.9279,318.4314,,20,
1.0440,318.4314,,20,
1.1597,318.4314,,20,
1.2696,318.4314,,20,
1.3715,318.4314,,20,
1.4825,318.4314,,20,
1.6023,318.4314,,20,
1.7037,318.4314,,20,
1.9042,318.4314,,20,
2.0070,318.4314,,20,
2.1159,318.4314,,20,
2.2248,318.4314,,20,
2.3347,318.4314,,20,
2.4340,318.4314,,20,
2.4446,318.4314,,20,
2.5347,318.4314,,20,
2.5452,318.4314,,20,
2.6367,318.4314,,20,
2.6474,318.4314,,20,
2.7577,318.4314,,20,
2.8666,318.4314,,20,
2.9825,318.4314,,20,
3.0847,318.4314,,20,
3.1813,318.4314,,20,
3.1942,318.4314,,20,
3.3811,318.4314,,20,
3.4777,318.4314,,20,
3.4884,318.4314,,20,
3.5808,318.4314,,20,
3.5914,318.4314,,20,
3.6948,318.4314,,20,
3.7899,318.4314,,20,
3.8005,318.4314,,20,
3.8895,318.4314,,20,
3.9001,318.4314,,20,
3.9104,318.4314,,20,
4.0096,318.4314,,20,
4.0204,318.4314,,20,
4.1077,318.4314,,20,
4.1188,318.4314,,20,
4.1293,318.4314,,20,
4.2929,318.4314,,20,
4.4730,318.4314,,20,
4.5647,318.4314,,20,
4.5753,318.4314,,20,
4.7393,318.4314,,20,
4.8718,318.4314,,20,
4.9706,318.4314,,20,
4.9811,318.4314,,20,
5.1287,318.4314,,30,
5.2290,318.4314,,30,
5.3231,318.4314,,30,
5.3337,318.4314,,30,
5.4337,318.4314,,30,
5.4440,318.4314,,30,
5.5418,318.4314,,30,
5.5524,318.4314,,30,
5.6606,318.4314,,30,
5.7569,318.4314,,30,
5.7674,318.4314,,30,
5.8706,318.4314,,30,
5.9750,318.4314,,30,
6.0798,318.4314,,30,
6.1768,318.4314,,30,
6.1872,318.4314,,30,
6.2958,318.4314,,30,
6.3938,318.4314,,30,
6.4042,318.4314,,30,
6.5001,318.4314,,30,
6.5106,318.4314,,30,
6.6062,318.4314,,30,
6.6168,318.4314,,30,
6.7170,318.4314,,30,
6.8192,318.4314,,30,
6.9220,318.4314,,30,
7.0234,318.4314,,30,
7.1710,318.4314,,30,
7.3177,318.4314,,30,
7.5481,318.4314,,30,
7.6937,318.4314,,50,
7.8101,318.4314,,50,
7.9087,318.4314,,50,
7.9190,318.4314,,50,
8.0196,318.4314,,50,
8.1197,318.4314,,50,
8.1299,318.4314,,50,
8.2342,318.4314,,50,
8.3342,318.4314,,50,
8.3449,318.4314,,50,
8.4456,318.4314,,50,
8.5417,318.4314,,50,
8.5523,318.4314,,50,
8.6440,318.4314,,50,
8.6543,318.4314,,50,
8.7503,318.4314,,50,
8.7608,318.4314,,50,
8.8530,318.4314,,50,
8.8638,318.4314,,50,
8.9650,318.4314,,50,
9.0645,318.4314,,50,
9.0751,318.4314,,50,
9.1740,318.4314,,50,
9.1846,318.4314,,50,
9.2850,318.4314,,50,
9.3885,318.4314,,50,
9.4829,318.4314,,50,
9.4937,318.4314,,50,
9.5859,318.4314,,50,
9.5966,318.4314,,50,
9.7729,318.4314,,50,
9.9082,318.4314,,50,
10.1717,318.4314,,0,
10.2716,318.4314,,0,
10.3711,318.4314,,0,
10.3816,318.4314,,0,
10.4775,318.4314,,0,
10.4878,318.4314,,0,
10.5832,318.4314,,0,
10.5940,318.4314,,0,
10.6866,318.4314,,0,
10.6971,318.4314,,0,
10.7945,318.4314,,0,
10.8049,318.4314,,0,
10.9019,318.4314,,0,
10.9127,318.4314,,0,
11.0072,318.4314,,0,
11.0176,318.4314,,0,
11.1127,318.4314,,0,
11.1234,318.4314,,0,
11.2189,318.4314,,0,
11.2294,318.4314,,0,
11.3292,318.4314,,0,
11.3396,318.4314,,0,
11.5289,318.4314,,0,
11.6348,318.4314,,0,
11.7435,318.4314,,0,
11.8511,318.4314,,0,
11.9497,318.4314,,0,
11.9603,318.4314,,0,
12.0594,318.4314,,0,
12.0703,318.4314,,0,
12.1846,318.4314,,0,
12.2866,318.4314,,0,
12.3868,318.4314,,0,
12.4854,318.4314,,0,
12.4962,318.4314,,0,
