time_s,temp_c,setpoint_c,pwm,error_c
1.9743,0.0000,280.00,255,280.0000
2.2854,0.0000,280.00,255,280.0000
2.6381,0.0000,280.00,255,280.0000
2.9556,168.8235,280.00,255,111.1765
3.2743,256.6667,280.00,255,23.3333
3.5660,323.9216,280.00,255,-43.9216
3.8211,350.0000,280.00,0,-70.0000
4.1280,350.0000,280.00,0,-70.0000
4.4131,299.2157,280.00,0,-19.2157
4.8814,222.3529,280.00,35,57.6471
5.3201,161.9608,280.00,124,118.0392
5.7480,177.0588,280.00,146,102.9412
6.0022,262.1569,280.00,88,17.8431
6.3133,303.3333,280.00,52,-23.3333
6.7115,293.7255,280.00,56,-13.7255
7.0654,233.3333,280.00,116,46.6667
7.5085,229.2157,280.00,134,50.7843
7.9317,286.8627,280.00,88,-6.8627
8.3502,310.1961,280.00,60,-30.1961
8.6054,273.1373,280.00,90,6.8627
8.9742,251.1765,280.00,113,28.8235
9.4111,260.7843,280.00,111,19.2157
9.7894,282.7451,280.00,94,-2.7451
10.1303,292.3529,280.00,83,-12.3529
10.5642,285.4902,280.00,86,-5.4902
10.9772,270.3922,280.00,101,9.6078
11.4252,273.1373,280.00,101,6.8627
11.8405,285.4902,280.00,90,-5.4902
12.2081,286.8627,280.00,87,-6.8627
