time_s,temp_c,setpoint_c,pwm,error_c
1.2075,146.5000,200.00,255,53.5000
1.3062,146.5000,200.00,255,53.5000
1.4063,146.5000,200.00,255,53.5000
1.5115,146.5000,200.00,255,53.5000
1.6239,146.5000,200.00,255,53.5000
1.7258,146.5000,200.00,255,53.5000
1.8213,146.5000,200.00,255,53.5000
1.9181,146.5000,200.00,255,53.5000
2.0272,146.5000,200.00,255,53.5000
2.1209,170.5000,200.00,255,29.5000
2.9407,296.2000,200.00,0,-96.2000
3.0708,314.0000,200.00,0,-114.0000
3.4651,314.0000,200.00,0,-114.0000
3.6576,314.0000,200.00,0,-114.0000
3.8354,314.0000,200.00,0,-114.0000
4.0115,314.0000,200.00,0,-114.0000
4.1771,314.0000,200.00,0,-114.0000
4.3456,314.0000,200.00,0,-114.0000
4.5105,314.0000,200.00,0,-114.0000
4.6801,314.0000,200.00,0,-114.0000
4.8430,314.0000,200.00,0,-114.0000
5.0112,314.0000,200.00,0,-114.0000
5.1792,314.0000,200.00,0,-114.0000
5.3483,314.0000,200.00,0,-114.0000
5.5107,314.0000,200.00,0,-114.0000
5.6857,314.0000,200.00,0,-114.0000
5.8394,314.0000,200.00,0,-114.0000
6.0175,314.0000,200.00,0,-114.0000
