time_s,temp_c,setpoint_c,pwm,error_c
1.1633,0.0000,200.00,255,200.0000
1.1670,0.0000,200.00,255,200.0000
1.1703,0.0000,200.00,255,200.0000
1.1731,0.0000,200.00,255,200.0000
1.1758,0.0000,200.00,255,200.0000
1.1787,0.0000,200.00,255,200.0000
1.1816,0.0000,200.00,255,200.0000
1.1846,0.0000,200.00,255,200.0000
1.1878,0.0000,200.00,255,200.0000
1.1917,0.0000,200.00,255,200.0000
1.1952,0.0000,200.00,255,200.0000
1.1979,0.0000,200.00,255,200.0000
1.2006,0.0000,200.00,255,200.0000
1.2040,0.0000,200.00,255,200.0000
1.2072,0.0000,200.00,255,200.0000
1.2098,0.0000,200.00,255,200.0000
1.2134,0.0000,200.00,255,200.0000
1.2161,0.0000,200.00,255,200.0000
1.2191,0.0000,200.00,255,200.0000
1.2221,0.0000,200.00,255,200.0000
1.2248,0.0000,200.00,255,200.0000
1.2276,0.0000,200.00,255,200.0000
1.2302,0.0000,200.00,255,200.0000
1.2336,0.0000,200.00,255,200.0000
1.2379,0.0000,200.00,255,200.0000
1.2407,0.0000,200.00,255,200.0000
1.2436,0.0000,200.00,255,200.0000
1.2462,0.0000,200.00,255,200.0000
1.2492,0.0000,200.00,255,200.0000
1.2523,0.0000,200.00,255,200.0000
1.2563,0.0000,200.00,255,200.0000
1.2592,0.0000,200.00,255,200.0000
1.2621,0.0000,200.00,255,200.0000
1.2650,0.0000,200.00,255,200.0000
1.2679,0.0000,200.00,255,200.0000
1.2707,0.0000,200.00,255,200.0000
1.2736,0.0000,200.00,255,200.0000
1.2762,0.0000,200.00,255,200.0000
1.2791,0.0000,200.00,255,200.0000
1.2821,0.0000,200.00,255,200.0000
1.2848,0.0000,200.00,255,200.0000
1.2878,0.0000,200.00,255,200.0000
1.2907,0.0000,200.00,255,200.0000
1.2936,0.0000,200.00,255,200.0000
1.2966,0.0000,200.00,255,200.0000
1.2994,0.0000,200.00,255,200.0000
1.3029,0.0000,200.00,255,200.0000
1.3059,0.0000,200.00,255,200.0000
1.3086,0.0000,200.00,255,200.0000
1.3116,0.0000,200.00,255,200.0000
1.3143,0.0000,200.00,255,200.0000
1.3171,0.0000,200.00,255,200.0000
1.3222,0.0000,200.00,255,200.0000
1.3257,0.0000,200.00,255,200.0000
1.3286,0.0000,200.00,255,200.0000
1.3316,0.0000,200.00,255,200.0000
1.3345,0.0000,200.00,255,200.0000
1.3376,0.0000,200.00,255,200.0000
1.3405,0.0000,200.00,255,200.0000
1.3445,0.0000,200.00,255,200.0000
1.3474,0.0000,200.00,255,200.0000
1.3502,0.0000,200.00,255,200.0000
1.3534,0.0000,200.00,255,200.0000
1.3565,0.0000,200.00,255,200.0000
1.3595,0.0000,200.00,255,200.0000
1.3622,0.0000,200.00,255,200.0000
1.3667,0.0000,200.00,255,200.0000
1.3710,0.0000,200.00,255,200.0000
1.3741,0.0000,200.00,255,200.0000
1.3770,0.0000,200.00,255,200.0000
1.3797,0.0000,200.00,255,200.0000
1.3825,0.0000,200.00,255,200.0000
1.3852,0.0000,200.00,255,200.0000
1.3890,0.0000,200.00,255,200.0000
1.3928,0.0000,200.00,255,200.0000
1.3958,0.0000,200.00,255,200.0000
1.3988,0.0000,200.00,255,200.0000
1.4019,0.0000,200.00,255,200.0000
1.4046,0.0000,200.00,255,200.0000
1.4073,0.0000,200.00,255,200.0000
1.4107,0.0000,200.00,255,200.0000
1.4136,0.0000,200.00,255,200.0000
1.4165,0.0000,200.00,255,200.0000
1.4194,0.0000,200.00,255,200.0000
1.4228,0.0000,200.00,255,200.0000
1.4258,0.0000,200.00,255,200.0000
1.4285,0.0000,200.00,255,200.0000
1.4311,0.0000,200.00,255,200.0000
1.4343,0.0000,200.00,255,200.0000
1.4386,0.0000,200.00,255,200.0000
1.4416,0.0000,200.00,255,200.0000
1.4446,0.0000,200.00,255,200.0000
1.4475,0.0000,200.00,255,200.0000
1.4505,0.0000,200.00,255,200.0000
1.4537,0.0000,200.00,255,200.0000
1.4572,0.0000,200.00,255,200.0000
1.4601,0.0000,200.00,255,200.0000
1.4634,0.0000,200.00,255,200.0000
1.4664,0.0000,200.00,255,200.0000
1.4693,0.0000,200.00,255,200.0000
1.4728,0.0000,200.00,255,200.0000
1.4757,0.0000,200.00,255,200.0000
1.4790,0.0000,200.00,255,200.0000
1.4825,0.0000,200.00,255,200.0000
1.4868,0.0000,200.00,255,200.0000
1.4901,0.0000,200.00,255,200.0000
1.4930,0.0000,200.00,255,200.0000
1.4960,0.0000,200.00,255,200.0000
1.4991,0.0000,200.00,255,200.0000
1.5020,0.0000,200.00,255,200.0000
1.5052,0.0000,200.00,255,200.0000
1.5080,0.0000,200.00,255,200.0000
1.5109,0.0000,200.00,255,200.0000
1.5136,0.0000,200.00,255,200.0000
1.5162,0.0000,200.00,255,200.0000
1.5195,0.0000,200.00,255,200.0000
1.5230,0.0000,200.00,255,200.0000
1.5258,0.0000,200.00,255,200.0000
1.5298,0.0000,200.00,255,200.0000
1.5328,0.0000,200.00,255,200.0000
1.5358,0.0000,200.00,255,200.0000
1.5389,0.0000,200.00,255,200.0000
1.5418,0.0000,200.00,255,200.0000
1.5448,0.0000,200.00,255,200.0000
1.5475,0.0000,200.00,255,200.0000
1.5501,0.0000,200.00,255,200.0000
1.5531,0.0000,200.00,255,200.0000
1.5564,0.0000,200.00,255,200.0000
1.5604,0.0000,200.00,255,200.0000
1.5634,0.0000,200.00,255,200.0000
1.5662,0.0000,200.00,255,200.0000
1.5693,0.0000,200.00,255,200.0000
1.5728,0.0000,200.00,255,200.0000
1.5760,0.0000,200.00,255,200.0000
1.5800,0.0000,200.00,255,200.0000
1.5832,0.0000,200.00,255,200.0000
1.5864,0.0000,200.00,255,200.0000
1.5894,0.0000,200.00,255,200.0000
1.5923,0.0000,200.00,255,200.0000
1.5950,0.0000,200.00,255,200.0000
1.5979,0.0000,200.00,255,200.0000
1.6012,0.0000,200.00,255,200.0000
1.6055,0.0000,200.00,255,200.0000
1.6084,0.0000,200.00,255,200.0000
1.6112,0.0000,200.00,255,200.0000
1.6139,0.0000,200.00,255,200.0000
1.6166,0.0000,200.00,255,200.0000
1.6195,0.0000,200.00,255,200.0000
1.6222,0.0000,200.00,255,200.0000
1.6260,0.0000,200.00,255,200.0000
1.6297,0.0000,200.00,255,200.0000
1.6326,0.0000,200.00,255,200.0000
1.6353,0.0000,200.00,255,200.0000
1.6383,0.0000,200.00,255,200.0000
1.6415,0.0000,200.00,255,200.0000
1.6445,0.0000,200.00,255,200.0000
1.6473,0.0000,200.00,255,200.0000
1.6513,0.0000,200.00,255,200.0000
1.6562,0.0000,200.00,255,200.0000
1.6592,0.0000,200.00,255,200.0000
1.6622,0.0000,200.00,255,200.0000
1.6651,0.0000,200.00,255,200.0000
1.6679,0.0000,200.00,255,200.0000
1.6710,0.0000,200.00,255,200.0000
1.6747,0.0000,200.00,255,200.0000
1.6776,0.0000,200.00,255,200.0000
1.6807,0.0000,200.00,255,200.0000
1.6835,0.0000,200.00,255,200.0000
1.6872,0.0000,200.00,255,200.0000
1.6906,0.0000,200.00,255,200.0000
1.6933,0.0000,200.00,255,200.0000
1.6959,0.0000,200.00,255,200.0000
1.6991,0.0000,200.00,255,200.0000
