time_s,temp_c,setpoint_c,pwm,error_c,phase
0.3299,58.8235,200.00,255,141.1765,preheat
0.3548,58.8235,200.00,255,141.1765,preheat
0.3785,58.8235,200.00,255,141.1765,preheat
0.3865,58.8235,200.00,255,141.1765,preheat
0.4040,58.8235,200.00,255,141.1765,preheat
0.4226,58.8235,200.00,255,141.1765,preheat
0.4450,58.8235,200.00,255,141.1765,preheat
0.4538,58.8235,200.00,255,141.1765,preheat
0.4727,58.8235,200.00,255,141.1765,preheat
0.4942,58.8235,200.00,255,141.1765,preheat
0.5126,58.8235,200.00,255,141.1765,preheat
0.5387,58.8235,200.00,255,141.1765,preheat
0.5568,58.8235,200.00,255,141.1765,preheat
0.5714,58.8235,200.00,255,141.1765,preheat
0.5888,58.8235,200.00,255,141.1765,preheat
0.6095,58.8235,200.00,255,141.1765,preheat
0.6282,58.8235,200.00,255,141.1765,preheat
0.6381,58.8235,200.00,255,141.1765,preheat
0.6553,58.8235,200.00,255,141.1765,preheat
0.6715,58.8235,200.00,255,141.1765,preheat
0.6880,58.8235,200.00,255,141.1765,preheat
0.7073,58.8235,200.00,255,141.1765,preheat
0.7291,58.8235,200.00,255,141.1765,preheat
0.7571,58.8235,200.00,255,141.1765,preheat
0.7719,58.8235,200.00,255,141.1765,preheat
0.7898,58.8235,200.00,255,141.1765,preheat
0.8069,58.8235,200.00,255,141.1765,preheat
0.8302,58.8235,200.00,255,141.1765,preheat
0.8576,58.8235,200.00,255,141.1765,preheat
0.8720,58.8235,200.00,255,141.1765,preheat
0.8914,58.8235,200.00,255,141.1765,preheat
0.9117,58.8235,200.00,255,141.1765,preheat
0.9218,58.8235,200.00,255,141.1765,preheat
0.9385,58.8235,200.00,255,141.1765,preheat
0.9541,58.8235,200.00,255,141.1765,preheat
0.9717,58.8235,200.00,255,141.1765,preheat
0.9891,58.8235,200.00,255,141.1765,preheat
1.0115,58.8235,200.00,255,141.1765,preheat
1.0217,58.8235,200.00,255,141.1765,preheat
1.0389,58.8235,200.00,255,141.1765,preheat
1.0543,58.8235,200.00,255,141.1765,preheat
1.0742,58.8235,200.00,255,141.1765,preheat
1.0945,58.8235,200.00,255,141.1765,preheat
1.1054,58.8235,200.00,255,141.1765,preheat
1.1236,58.8235,200.00,255,141.1765,preheat
1.1383,58.8235,200.00,255,141.1765,preheat
1.1557,58.8235,200.00,255,141.1765,preheat
1.1744,58.8235,200.00,255,141.1765,preheat
1.1970,58.8235,200.00,255,141.1765,preheat
1.2226,58.8235,200.00,255,141.1765,preheat
1.2366,58.8235,200.00,255,141.1765,preheat
1.2554,58.8235,200.00,255,141.1765,preheat
1.2716,58.8235,200.00,255,141.1765,preheat
1.2886,58.8235,200.00,255,141.1765,preheat
1.3116,58.8235,200.00,255,141.1765,preheat
1.3377,58.8235,200.00,255,141.1765,preheat
1.3719,58.8235,200.00,255,141.1765,preheat
1.3901,58.8235,200.00,255,141.1765,preheat
1.4057,58.8235,200.00,255,141.1765,preheat
1.4221,58.8235,200.00,255,141.1765,preheat
1.4458,58.8235,200.00,255,141.1765,preheat
1.4736,58.8235,200.00,255,141.1765,preheat
1.4879,58.8235,200.00,255,141.1765,preheat
1.5037,58.8235,200.00,255,141.1765,preheat
1.5204,58.8235,200.00,255,141.1765,preheat
1.5382,58.8235,200.00,255,141.1765,preheat
1.5551,58.8235,200.00,255,141.1765,preheat
1.5712,58.8235,200.00,255,141.1765,preheat
1.5894,58.8235,200.00,255,141.1765,preheat
1.6081,58.8235,200.00,255,141.1765,preheat
1.6209,58.8235,200.00,255,141.1765,preheat
1.6389,58.8235,200.00,255,141.1765,preheat
1.6561,58.8235,200.00,255,141.1765,preheat
1.6718,58.8235,200.00,255,141.1765,preheat
1.6887,58.8235,200.00,255,141.1765,preheat
1.7059,58.8235,200.00,255,141.1765,preheat
1.7208,58.8235,200.00,255,141.1765,preheat
1.7380,58.8235,200.00,255,141.1765,preheat
1.7554,58.8235,200.00,255,141.1765,preheat
1.7719,58.8235,200.00,255,141.1765,preheat
1.7877,58.8235,200.00,255,141.1765,preheat
1.8055,58.8235,200.00,255,141.1765,preheat
1.8207,58.8235,200.00,255,141.1765,preheat
1.8377,58.8235,200.00,255,141.1765,preheat
1.8564,58.8235,200.00,255,141.1765,preheat
1.8733,58.8235,200.00,255,141.1765,preheat
1.8876,58.8235,200.00,255,141.1765,preheat
1.9055,58.8235,200.00,255,141.1765,preheat
1.9221,58.8235,200.00,255,141.1765,preheat
1.9372,58.8235,200.00,255,141.1765,preheat
1.9547,58.8235,200.00,255,141.1765,preheat
1.9725,58.8235,200.00,255,141.1765,preheat
1.9877,58.8235,200.00,255,141.1765,preheat
2.0054,58.8235,200.00,255,141.1765,preheat
2.0224,58.8235,200.00,255,141.1765,preheat
2.0370,58.8235,200.00,255,141.1765,preheat
2.0547,58.8235,200.00,255,141.1765,preheat
2.0715,58.8235,200.00,255,141.1765,preheat
2.0888,58.8235,200.00,255,141.1765,preheat
2.1059,58.8235,200.00,255,141.1765,preheat
2.1228,58.8235,200.00,255,141.1765,preheat
2.1376,58.8235,200.00,255,141.1765,preheat
2.1544,58.8235,200.00,255,141.1765,preheat
2.1707,58.8235,200.00,255,141.1765,preheat
2.1892,58.8235,200.00,255,141.1765,preheat
2.2206,58.8235,200.00,255,141.1765,preheat
2.2388,58.8235,200.00,255,141.1765,preheat
2.2557,58.8235,200.00,255,141.1765,preheat
2.2723,58.8235,200.00,255,141.1765,preheat
2.2888,58.8235,200.00,255,141.1765,preheat
2.3038,58.8235,200.00,255,141.1765,preheat
2.3208,58.8235,200.00,255,141.1765,preheat
2.3382,58.8235,200.00,255,141.1765,preheat
2.3553,58.8235,200.00,255,141.1765,preheat
2.3718,58.8235,200.00,255,141.1765,preheat
2.3889,58.8235,200.00,255,141.1765,preheat
2.4058,58.8235,200.00,255,141.1765,preheat
2.4217,58.8235,200.00,255,141.1765,preheat
2.4372,58.8235,200.00,255,141.1765,preheat
2.4546,58.8235,200.00,255,141.1765,preheat
2.4703,58.8235,200.00,255,141.1765,preheat
2.4894,58.8235,200.00,255,141.1765,preheat
2.5051,58.8235,200.00,255,141.1765,preheat
2.5222,58.8235,200.00,255,141.1765,preheat
2.5402,58.8235,200.00,255,141.1765,preheat
2.5549,58.8235,200.00,255,141.1765,preheat
2.5721,58.8235,200.00,255,141.1765,preheat
2.5873,58.8235,200.00,255,141.1765,preheat
2.6048,58.8235,200.00,255,141.1765,preheat
2.6209,58.8235,200.00,255,141.1765,preheat
2.6376,58.8235,200.00,255,141.1765,preheat
2.6560,58.8235,200.00,255,141.1765,preheat
2.6727,58.8235,200.00,255,141.1765,preheat
2.6899,58.8235,200.00,255,141.1765,preheat
2.7055,58.8235,200.00,255,141.1765,preheat
2.7223,58.8235,200.00,255,141.1765,preheat
2.7383,58.8235,200.00,255,141.1765,preheat
2.7556,58.8235,200.00,255,141.1765,preheat
2.7708,58.8235,200.00,255,141.1765,preheat
2.7871,58.8235,200.00,255,141.1765,preheat
2.8043,58.8235,200.00,255,141.1765,preheat
2.8227,58.8235,200.00,255,141.1765,preheat
2.8392,58.8235,200.00,255,141.1765,preheat
2.8547,58.8235,200.00,255,141.1765,preheat
2.8717,58.8235,200.00,255,141.1765,preheat
2.8888,58.8235,200.00,255,141.1765,preheat
2.9051,58.8235,200.00,255,141.1765,preheat
2.9219,58.8235,200.00,255,141.1765,preheat
2.9381,58.8235,200.00,255,141.1765,preheat
2.9542,58.8235,200.00,255,141.1765,preheat
2.9716,58.8235,200.00,255,141.1765,preheat
2.9921,58.8235,200.00,255,141.1765,preheat
3.0052,58.8235,200.00,255,141.1765,preheat
3.0205,58.8235,200.00,255,141.1765,preheat
3.0379,58.8235,200.00,255,141.1765,preheat
3.0554,58.8235,200.00,255,141.1765,preheat
3.0704,58.8235,200.00,255,141.1765,preheat
3.0879,58.8235,200.00,255,141.1765,preheat
3.1053,58.8235,200.00,255,141.1765,preheat
3.1213,58.8235,200.00,255,141.1765,preheat
3.1389,58.8235,200.00,255,141.1765,preheat
3.1571,58.8235,200.00,255,141.1765,preheat
3.1719,58.8235,200.00,255,141.1765,preheat
3.1877,58.8235,200.00,255,141.1765,preheat
3.2059,58.8235,200.00,255,141.1765,preheat
3.2234,58.8235,200.00,255,141.1765,preheat
3.2380,58.8235,200.00,255,141.1765,preheat
3.2537,58.8235,200.00,255,141.1765,preheat
3.2711,58.8235,200.00,255,141.1765,preheat
3.2878,58.8235,200.00,255,141.1765,preheat
3.3085,58.8235,200.00,255,141.1765,preheat
3.3218,58.8235,200.00,255,141.1765,preheat
3.3389,58.8235,200.00,255,141.1765,preheat
3.3559,58.8235,200.00,255,141.1765,preheat
3.3709,58.8235,200.00,255,141.1765,preheat
3.3880,58.8235,200.00,255,141.1765,preheat
3.4062,58.8235,200.00,255,141.1765,preheat
3.4210,58.8235,200.00,255,141.1765,preheat
3.4386,58.8235,200.00,255,141.1765,preheat
3.4561,58.8235,200.00,255,141.1765,preheat
3.4725,58.8235,200.00,255,141.1765,preheat
3.4891,58.8235,200.00,255,141.1765,preheat
3.5059,58.8235,200.00,255,141.1765,preheat
3.5212,58.8235,200.00,255,141.1765,preheat
3.5378,58.8235,200.00,255,141.1765,preheat
3.5566,58.8235,200.00,255,141.1765,preheat
3.5718,58.8235,200.00,255,141.1765,preheat
3.5886,58.8235,200.00,255,141.1765,preheat
3.6041,58.8235,200.00,255,141.1765,preheat
3.6208,58.8235,200.00,255,141.1765,preheat
3.6378,58.8235,200.00,255,141.1765,preheat
3.6548,58.8235,200.00,255,141.1765,preheat
3.6706,58.8235,200.00,255,141.1765,preheat
3.6913,58.8235,200.00,255,141.1765,preheat
3.7054,58.8235,200.00,255,141.1765,preheat
3.7222,58.8235,200.00,255,141.1765,preheat
3.7396,58.8235,200.00,255,141.1765,preheat
3.7559,58.8235,200.00,255,141.1765,preheat
3.7709,58.8235,200.00,255,141.1765,preheat
3.7888,58.8235,200.00,255,141.1765,preheat
3.8072,58.8235,200.00,255,141.1765,preheat
3.8231,58.8235,200.00,255,141.1765,preheat
3.8392,58.8235,200.00,255,141.1765,preheat
3.8545,58.8235,200.00,255,141.1765,preheat
3.8713,58.8235,200.00,255,141.1765,preheat
3.8884,58.8235,200.00,255,141.1765,preheat
3.9088,58.8235,200.00,255,141.1765,preheat
3.9228,58.8235,200.00,255,141.1765,preheat
3.9391,58.8235,200.00,255,141.1765,preheat
3.9551,58.8235,200.00,255,141.1765,preheat
3.9707,58.8235,200.00,255,141.1765,preheat
3.9885,58.8235,200.00,255,141.1765,preheat
4.0084,58.8235,200.00,255,141.1765,preheat
4.0226,58.8235,200.00,255,141.1765,preheat
4.0392,58.8235,200.00,255,141.1765,preheat
4.0563,58.8235,200.00,255,141.1765,preheat
