time_s,temp_c,setpoint_c,pwm,error_c,phase
0.1733,0.0000,200.00,255,200.0000,preheat
0.2395,0.0000,200.00,255,200.0000,preheat
0.3045,0.0000,200.00,255,200.0000,preheat
0.3765,0.0000,200.00,255,200.0000,preheat
0.4512,0.0000,200.00,255,200.0000,preheat
0.5139,0.0000,200.00,255,200.0000,preheat
0.5934,0.0000,200.00,255,200.0000,preheat
0.6743,0.0000,200.00,255,200.0000,preheat
0.7433,0.0000,200.00,255,200.0000,preheat
0.8278,0.0000,200.00,255,200.0000,preheat
0.9121,0.0000,200.00,255,200.0000,preheat
0.9959,0.0000,200.00,255,200.0000,preheat
1.0665,0.0000,200.00,255,200.0000,preheat
1.1390,0.0000,200.00,255,200.0000,preheat
1.1975,150.5882,200.00,255,49.4118,preheat
1.2731,160.0000,200.00,255,40.0000,preheat
1.3309,167.0588,200.00,255,32.9412,preheat
1.4055,174.1176,200.00,255,25.8824,preheat
0.0201,192.9412,200.00,5,7.0588,pid
0.1346,202.3529,200.00,0,-2.3529,pid
0.6334,202.3529,200.00,0,-2.3529,pid
0.8377,202.3529,200.00,0,-2.3529,pid
1.0792,202.3529,200.00,0,-2.3529,pid
1.3107,202.3529,200.00,0,-2.3529,pid
1.5044,202.3529,200.00,0,-2.3529,pid
1.7650,202.3529,200.00,0,-2.3529,pid
1.9771,202.3529,200.00,0,-2.3529,pid
2.1667,202.3529,200.00,0,-2.3529,pid
2.4243,202.3529,200.00,0,-2.3529,pid
2.6564,202.3529,200.00,0,-2.3529,pid
2.8745,202.3529,200.00,0,-2.3529,pid
3.1192,202.3529,200.00,0,-2.3529,pid
3.3346,202.3529,200.00,0,-2.3529,pid
3.5661,202.3529,200.00,0,-2.3529,pid
3.7620,202.3529,200.00,0,-2.3529,pid
3.9576,202.3529,200.00,0,-2.3529,pid
4.1612,202.3529,200.00,0,-2.3529,pid
4.3906,202.3529,200.00,0,-2.3529,pid
4.6229,202.3529,200.00,0,-2.3529,pid
4.8570,202.3529,200.00,0,-2.3529,pid
5.0599,202.3529,200.00,0,-2.3529,pid
