time_s,temp_c,setpoint_c,pwm,error_c
1.0996,0.0000,200.00,255,200.0000
1.1030,0.0000,200.00,255,200.0000
1.1057,0.0000,200.00,255,200.0000
1.1087,0.0000,200.00,255,200.0000
1.1115,0.0000,200.00,255,200.0000
1.1153,0.0000,200.00,255,200.0000
1.1184,0.0000,200.00,255,200.0000
1.1211,0.0000,200.00,255,200.0000
1.1244,0.0000,200.00,255,200.0000
1.1272,0.0000,200.00,255,200.0000
1.1309,0.0000,200.00,255,200.0000
1.1341,0.0000,200.00,255,200.0000
1.1382,0.0000,200.00,255,200.0000
1.1412,0.0000,200.00,255,200.0000
1.1442,0.0000,200.00,255,200.0000
1.1470,0.0000,200.00,255,200.0000
1.1497,0.0000,200.00,255,200.0000
1.1527,0.0000,200.00,255,200.0000
1.1556,0.0000,200.00,255,200.0000
1.1586,0.0000,200.00,255,200.0000
1.1619,0.0000,200.00,255,200.0000
1.1649,0.0000,200.00,255,200.0000
1.1682,0.0000,200.00,255,200.0000
1.1713,0.0000,200.00,255,200.0000
1.1744,0.0000,200.00,255,200.0000
1.1775,0.0000,200.00,255,200.0000
1.1806,0.0000,200.00,255,200.0000
1.1836,0.0000,200.00,255,200.0000
1.1866,0.0000,200.00,255,200.0000
1.1896,0.0000,200.00,255,200.0000
1.1926,0.0000,200.00,255,200.0000
1.1956,0.0000,200.00,255,200.0000
1.1988,0.0000,200.00,255,200.0000
1.2016,0.0000,200.00,255,200.0000
1.2043,0.0000,200.00,255,200.0000
1.2079,0.0000,200.00,255,200.0000
1.2112,0.0000,200.00,255,200.0000
1.2154,0.0000,200.00,255,200.0000
1.2186,0.0000,200.00,255,200.0000
1.2215,0.0000,200.00,255,200.0000
1.2243,0.0000,200.00,255,200.0000
1.2276,0.0000,200.00,255,200.0000
1.2321,0.0000,200.00,255,200.0000
1.2349,0.0000,200.00,255,200.0000
1.2376,0.0000,200.00,255,200.0000
1.2406,0.0000,200.00,255,200.0000
1.2440,0.0000,200.00,255,200.0000
1.2483,0.0000,200.00,255,200.0000
1.2515,0.0000,200.00,255,200.0000
1.2543,0.0000,200.00,255,200.0000
1.2569,0.0000,200.00,255,200.0000
1.2597,0.0000,200.00,255,200.0000
1.2624,0.0000,200.00,255,200.0000
1.2657,0.0000,200.00,255,200.0000
1.2684,0.0000,200.00,255,200.0000
1.2715,0.0000,200.00,255,200.0000
1.2745,0.0000,200.00,255,200.0000
1.2773,0.0000,200.00,255,200.0000
1.2813,0.0000,200.00,255,200.0000
1.2851,0.0000,200.00,255,200.0000
1.2881,0.0000,200.00,255,200.0000
1.2909,0.0000,200.00,255,200.0000
1.2939,0.0000,200.00,255,200.0000
1.2966,0.0000,200.00,255,200.0000
1.2993,0.0000,200.00,255,200.0000
1.3019,0.0000,200.00,255,200.0000
1.3045,0.0000,200.00,255,200.0000
1.3071,0.0000,200.00,255,200.0000
1.3105,0.0000,200.00,255,200.0000
1.3133,0.0000,200.00,255,200.0000
1.3162,0.0000,200.00,255,200.0000
1.3190,0.0000,200.00,255,200.0000
1.3216,0.0000,200.00,255,200.0000
1.3243,0.0000,200.00,255,200.0000
1.3276,0.0000,200.00,255,200.0000
1.3317,0.0000,200.00,255,200.0000
1.3361,0.0000,200.00,255,200.0000
1.3390,0.0000,200.00,255,200.0000
1.3417,0.0000,200.00,255,200.0000
1.3448,0.0000,200.00,255,200.0000
1.3475,0.0000,200.00,255,200.0000
1.3504,0.0000,200.00,255,200.0000
1.3534,0.0000,200.00,255,200.0000
1.3563,0.0000,200.00,255,200.0000
1.3608,0.0000,200.00,255,200.0000
1.3640,0.0000,200.00,255,200.0000
1.3670,0.0000,200.00,255,200.0000
1.3696,0.0000,200.00,255,200.0000
1.3723,0.0000,200.00,255,200.0000
1.3754,0.0000,200.00,255,200.0000
1.3786,0.0000,200.00,255,200.0000
1.3814,0.0000,200.00,255,200.0000
1.3847,0.0000,200.00,255,200.0000
1.3876,0.0000,200.00,255,200.0000
1.3904,0.0000,200.00,255,200.0000
1.3937,0.0000,200.00,255,200.0000
1.3965,0.0000,200.00,255,200.0000
1.4003,0.0000,200.00,255,200.0000
1.4030,0.0000,200.00,255,200.0000
1.4057,0.0000,200.00,255,200.0000
1.4089,0.0000,200.00,255,200.0000
1.4125,0.0000,200.00,255,200.0000
1.4163,0.0000,200.00,255,200.0000
1.4192,0.0000,200.00,255,200.0000
1.4222,0.0000,200.00,255,200.0000
1.4249,0.0000,200.00,255,200.0000
1.4292,0.0000,200.00,255,200.0000
1.4320,0.0000,200.00,255,200.0000
1.4349,0.0000,200.00,255,200.0000
1.4387,0.0000,200.00,255,200.0000
1.4433,0.0000,200.00,255,200.0000
1.4465,0.0000,200.00,255,200.0000
1.4495,0.0000,200.00,255,200.0000
1.4522,0.0000,200.00,255,200.0000
1.4556,0.0000,200.00,255,200.0000
1.4583,0.0000,200.00,255,200.0000
1.4615,0.0000,200.00,255,200.0000
1.4647,0.0000,200.00,255,200.0000
1.4683,0.0000,200.00,255,200.0000
1.4714,0.0000,200.00,255,200.0000
1.4744,0.0000,200.00,255,200.0000
1.4776,0.0000,200.00,255,200.0000
1.4805,0.0000,200.00,255,200.0000
1.4836,0.0000,200.00,255,200.0000
1.4865,0.0000,200.00,255,200.0000
1.4897,0.0000,200.00,255,200.0000
1.4931,0.0000,200.00,255,200.0000
1.4962,0.0000,200.00,255,200.0000
1.4991,0.0000,200.00,255,200.0000
1.5020,0.0000,200.00,255,200.0000
1.5049,0.0000,200.00,255,200.0000
1.5079,0.0000,200.00,255,200.0000
1.5113,0.0000,200.00,255,200.0000
1.5143,0.0000,200.00,255,200.0000
1.5173,0.0000,200.00,255,200.0000
1.5203,0.0000,200.00,255,200.0000
1.5230,0.0000,200.00,255,200.0000
1.5259,0.0000,200.00,255,200.0000
1.5288,0.0000,200.00,255,200.0000
1.5314,0.0000,200.00,255,200.0000
1.5344,0.0000,200.00,255,200.0000
1.5371,0.0000,200.00,255,200.0000
1.5398,0.0000,200.00,255,200.0000
1.5428,0.0000,200.00,255,200.0000
1.5469,0.0000,200.00,255,200.0000
1.5496,0.0000,200.00,255,200.0000
1.5523,0.0000,200.00,255,200.0000
1.5555,0.0000,200.00,255,200.0000
1.5584,0.0000,200.00,255,200.0000
1.5616,0.0000,200.00,255,200.0000
1.5644,0.0000,200.00,255,200.0000
1.5670,0.0000,200.00,255,200.0000
1.5699,0.0000,200.00,255,200.0000
1.5731,0.0000,200.00,255,200.0000
1.5762,0.0000,200.00,255,200.0000
1.5794,0.0000,200.00,255,200.0000
1.5827,0.0000,200.00,255,200.0000
1.5859,0.0000,200.00,255,200.0000
1.5893,0.0000,200.00,255,200.0000
1.5923,0.0000,200.00,255,200.0000
1.5953,0.0000,200.00,255,200.0000
1.5982,0.0000,200.00,255,200.0000
1.6010,0.0000,200.00,255,200.0000
1.6049,0.0000,200.00,255,200.0000
1.6076,0.0000,200.00,255,200.0000
1.6108,0.0000,200.00,255,200.0000
1.6142,0.0000,200.00,255,200.0000
1.6171,0.0000,200.00,255,200.0000
1.6198,0.0000,200.00,255,200.0000
1.6225,0.0000,200.00,255,200.0000
1.6258,0.0000,200.00,255,200.0000
1.6292,0.0000,200.00,255,200.0000
1.6332,0.0000,200.00,255,200.0000
1.6361,0.0000,200.00,255,200.0000
1.6392,0.0000,200.00,255,200.0000
1.6422,0.0000,200.00,255,200.0000
1.6453,0.0000,200.00,255,200.0000
1.6481,0.0000,200.00,255,200.0000
1.6509,0.0000,200.00,255,200.0000
1.6539,0.0000,200.00,255,200.0000
1.6569,0.0000,200.00,255,200.0000
1.6601,0.0000,200.00,255,200.0000
1.6635,0.0000,200.00,255,200.0000
1.6662,0.0000,200.00,255,200.0000
1.6689,0.0000,200.00,255,200.0000
1.6717,0.0000,200.00,255,200.0000
1.6745,0.0000,200.00,255,200.0000
1.6773,0.0000,200.00,255,200.0000
1.6801,0.0000,200.00,255,200.0000
1.6828,0.0000,200.00,255,200.0000
1.6864,0.0000,200.00,255,200.0000
1.6895,0.0000,200.00,255,200.0000
1.6922,0.0000,200.00,255,200.0000
1.6953,0.0000,200.00,255,200.0000
1.6983,0.0000,200.00,255,200.0000
1.7015,0.0000,200.00,255,200.0000
1.7044,0.0000,200.00,255,200.0000
1.7071,0.0000,200.00,255,200.0000
1.7109,0.0000,200.00,255,200.0000
1.7149,0.0000,200.00,255,200.0000
1.7178,0.0000,200.00,255,200.0000
1.7207,0.0000,200.00,255,200.0000
1.7236,0.0000,200.00,255,200.0000
1.7273,0.0000,200.00,255,200.0000
1.7305,0.0000,200.00,255,200.0000
1.7338,0.0000,200.00,255,200.0000
1.7371,0.0000,200.00,255,200.0000
1.7405,0.0000,200.00,255,200.0000
1.7452,0.0000,200.00,255,200.0000
1.7482,0.0000,200.00,255,200.0000
1.7512,0.0000,200.00,255,200.0000
