time_s,temp_c,setpoint_c,pwm,error_c
1.1122,0.0000,200.00,255,200.0000
1.1151,0.0000,200.00,255,200.0000
1.1179,0.0000,200.00,255,200.0000
1.1216,0.0000,200.00,255,200.0000
1.1245,0.0000,200.00,255,200.0000
1.1274,0.0000,200.00,255,200.0000
1.1302,0.0000,200.00,255,200.0000
1.1364,0.0000,200.00,255,200.0000
1.1394,0.0000,200.00,255,200.0000
1.1421,0.0000,200.00,255,200.0000
1.1449,0.0000,200.00,255,200.0000
1.1476,0.0000,200.00,255,200.0000
1.1508,0.0000,200.00,255,200.0000
1.1537,0.0000,200.00,255,200.0000
1.1564,0.0000,200.00,255,200.0000
1.1591,0.0000,200.00,255,200.0000
1.1620,0.0000,200.00,255,200.0000
1.1651,0.0000,200.00,255,200.0000
1.1692,0.0000,200.00,255,200.0000
1.1720,0.0000,200.00,255,200.0000
1.1749,0.0000,200.00,255,200.0000
1.1783,0.0000,200.00,255,200.0000
1.1810,0.0000,200.00,255,200.0000
1.1840,0.0000,200.00,255,200.0000
1.1873,0.0000,200.00,255,200.0000
1.1903,0.0000,200.00,255,200.0000
1.1932,0.0000,200.00,255,200.0000
1.1960,0.0000,200.00,255,200.0000
1.1992,0.0000,200.00,255,200.0000
1.2023,0.0000,200.00,255,200.0000
1.2058,0.0000,200.00,255,200.0000
1.2094,0.0000,200.00,255,200.0000
1.2121,0.0000,200.00,255,200.0000
1.2151,0.0000,200.00,255,200.0000
1.2192,0.0000,200.00,255,200.0000
1.2223,0.0000,200.00,255,200.0000
1.2252,0.0000,200.00,255,200.0000
1.2280,0.0000,200.00,255,200.0000
1.2312,0.0000,200.00,255,200.0000
1.2342,0.0000,200.00,255,200.0000
1.2383,0.0000,200.00,255,200.0000
1.2413,0.0000,200.00,255,200.0000
1.2440,0.0000,200.00,255,200.0000
1.2468,0.0000,200.00,255,200.0000
1.2497,0.0000,200.00,255,200.0000
1.2530,0.0000,200.00,255,200.0000
1.2558,0.0000,200.00,255,200.0000
1.2588,0.0000,200.00,255,200.0000
1.2615,0.0000,200.00,255,200.0000
1.2645,0.0000,200.00,255,200.0000
1.2675,0.0000,200.00,255,200.0000
1.2707,0.0000,200.00,255,200.0000
1.2734,0.0000,200.00,255,200.0000
1.2768,0.0000,200.00,255,200.0000
1.2795,0.0000,200.00,255,200.0000
1.2831,0.0000,200.00,255,200.0000
1.2862,0.0000,200.00,255,200.0000
1.2893,0.0000,200.00,255,200.0000
1.2920,0.0000,200.00,255,200.0000
1.2956,0.0000,200.00,255,200.0000
1.2983,0.0000,200.00,255,200.0000
1.3011,0.0000,200.00,255,200.0000
1.3041,0.0000,200.00,255,200.0000
1.3069,0.0000,200.00,255,200.0000
1.3096,0.0000,200.00,255,200.0000
1.3126,0.0000,200.00,255,200.0000
1.3155,0.0000,200.00,255,200.0000
1.3184,0.0000,200.00,255,200.0000
1.3212,0.0000,200.00,255,200.0000
1.3239,0.0000,200.00,255,200.0000
1.3267,0.0000,200.00,255,200.0000
1.3296,0.0000,200.00,255,200.0000
1.3326,0.0000,200.00,255,200.0000
1.3362,0.0000,200.00,255,200.0000
1.3389,0.0000,200.00,255,200.0000
1.3421,0.0000,200.00,255,200.0000
1.3448,0.0000,200.00,255,200.0000
1.3477,0.0000,200.00,255,200.0000
1.3503,0.0000,200.00,255,200.0000
1.3532,0.0000,200.00,255,200.0000
1.3559,0.0000,200.00,255,200.0000
1.3585,0.0000,200.00,255,200.0000
1.3620,0.0000,200.00,255,200.0000
1.3648,0.0000,200.00,255,200.0000
1.3679,0.0000,200.00,255,200.0000
1.3711,0.0000,200.00,255,200.0000
1.3739,0.0000,200.00,255,200.0000
1.3767,0.0000,200.00,255,200.0000
1.3796,0.0000,200.00,255,200.0000
1.3832,0.0000,200.00,255,200.0000
1.3860,0.0000,200.00,255,200.0000
1.3892,0.0000,200.00,255,200.0000
1.3920,0.0000,200.00,255,200.0000
1.3948,0.0000,200.00,255,200.0000
1.3975,0.0000,200.00,255,200.0000
1.4007,0.0000,200.00,255,200.0000
1.4038,0.0000,200.00,255,200.0000
1.4068,0.0000,200.00,255,200.0000
1.4098,0.0000,200.00,255,200.0000
